disease,total_risk_score,risk_category,primary_risk_factors,modifiable_factors,genetic_predisposition,environmental_risk,age_adjusted_risk,gender_adjusted_risk,prevention_potential,age_score,gender_score,bmi_score,smoking_status_score,alcohol_consumption_score,physical_activity_score,family_history_score,blood_pressure_score,cholesterol_level_score,blood_sugar_level_score,stress_level_score,sleep_quality_score,diet_quality_score,environmental_factors_score
Alzheimers Disease,4.76,Moderate,"Age, Stress Level, Gender","Stress, Smoking",Unknown,Low,5.48,4.91,Low,1.08,8.96,1.91,2.56,5.03,1.03,9.17,9.53,3.97,1.61,5.01,4.24,6.76,5.82
Pneumonia,4.84,Moderate,"Cholesterol Level, Stress Level, Diet Quality","Exercise, Smoking",Unknown,High,6.63,5.22,Low,7.72,6.11,6.11,5.41,1.88,7.6,5.78,1.42,3.07,4.86,8.68,3.41,2.82,2.9
Deep Vein Thrombosis,5.99,Moderate,"Stress Level, Age, Family History","Exercise, Stress",Low,High,7.34,6.06,High,6.8,5.8,6.11,5.38,4.8,8.15,6.27,8.95,6.33,2.44,8.34,4.37,3.82,6.28
Chronic Kidney Disease,5.81,Moderate,"Diet Quality, Stress Level, BMI","Smoking, Sleep",High,Low,5.05,5.51,Moderate,6.93,8.84,1.58,7.4,9.65,3.37,1.56,4.99,7.97,9.46,3.17,9.66,4.92,1.9
Meniere Disease,5.8,Moderate,"Family History, Blood Sugar Level, Cholesterol Level","Sleep, Stress",High,Moderate,5.6,6.63,Low,8.62,3.89,4.93,1.94,8.27,7.4,4.72,7.68,1.98,6.86,8.25,4.98,2.06,9.59
Gallstones,5.97,Moderate,"Blood Pressure, Physical Activity, Stress Level","Diet, Stress",Low,High,4.8,6.66,High,8.5,4.49,9.88,2.19,4.2,9.75,6.48,2.32,9.92,5.32,3.36,3.49,9.57,4.05
Depression,4.73,Moderate,"Sleep Quality, Cholesterol Level, Environmental Factors","Exercise, Diet",Unknown,High,4.21,5.68,Low,3.44,8.26,6.81,1.98,3.95,3.65,8.18,3.27,5.33,1.82,5.26,7.4,3.73,3.15
Back Pain,5.65,Moderate,"Environmental Factors, Age, Smoking Status","Stress, Sleep",Low,Low,6.1,5.17,Moderate,4.78,9.01,8.29,8.93,7.29,1.15,5.13,2.78,1.97,4.25,8.01,1.61,6.74,9.1
Parkinsons Disease,5.61,Moderate,"Environmental Factors, Sleep Quality, Cholesterol Level","Diet, Exercise",High,Moderate,5.52,6.17,Moderate,1.02,9.75,2.56,2.21,5.92,5.35,7.56,9.2,5.51,2.24,2.12,9.03,7.09,8.92
Hypothyroidism,5.12,Moderate,"Smoking Status, Gender, Family History","Smoking, Exercise",Low,High,4.78,5.17,Moderate,2.71,2.36,9.64,9.62,7.22,5.09,1.5,2.85,3.98,3.89,6.78,1.41,5.89,8.78
Leukemia,4.92,Moderate,"Physical Activity, Sleep Quality, Age","Stress, Exercise",High,High,4.91,6.23,Low,4.04,9.2,1.85,7.6,2.33,1.64,3.43,4.8,5.07,8.75,1.51,9.0,6.85,2.75
Arthritis,5.44,Moderate,"Age, BMI, Sleep Quality","Diet, Smoking",Moderate,Moderate,5.87,6.23,Low,5.08,4.88,7.54,6.45,2.1,6.57,1.89,3.79,7.74,6.2,6.45,9.35,4.75,3.3
Iron Deficiency,6.23,Moderate,"Environmental Factors, Alcohol Consumption, Blood Sugar Level","Smoking, Stress",Low,Low,5.04,5.91,Moderate,3.82,4.75,9.06,9.81,2.79,2.01,8.08,9.51,9.73,3.17,6.92,9.82,6.05,1.73
Tension Headache,6.46,Moderate,"Stress Level, Blood Pressure, Blood Sugar Level","Stress, Smoking",Moderate,Moderate,8.5,7.66,Moderate,6.6,7.63,5.48,7.55,4.92,4.81,4.69,9.59,9.14,6.92,1.25,7.13,5.02,9.72
Rheumatoid Arthritis,5.53,Moderate,"Alcohol Consumption, Physical Activity, Environmental Factors","Exercise, Diet",Unknown,Low,7.54,5.21,Moderate,8.33,2.05,6.39,5.27,4.81,7.77,9.89,2.6,7.48,7.79,3.6,1.69,8.3,1.39
Leukemia,5.13,Moderate,"Age, Environmental Factors, Sleep Quality","Sleep, Diet",Moderate,High,6.25,5.75,Moderate,2.44,7.47,5.52,3.37,1.58,9.04,9.54,8.46,1.48,4.68,4.73,6.24,1.1,6.24
Peptic Ulcer,5.89,Moderate,"Physical Activity, BMI, Sleep Quality","Exercise, Diet",Low,Low,8.2,6.39,High,6.22,6.29,3.58,6.11,5.63,6.99,4.72,7.85,3.08,8.11,5.44,9.51,1.95,6.98
Gastritis,5.88,Moderate,"Gender, Smoking Status, Environmental Factors","Stress, Smoking",Moderate,Low,8.18,6.13,Low,5.92,7.99,7.04,7.58,4.4,1.28,2.76,7.59,5.53,1.18,9.72,9.96,4.56,6.79
Hypertension,5.15,Moderate,"Environmental Factors, Blood Sugar Level, Diet Quality","Smoking, Sleep",Low,Low,6.61,6.22,Low,8.22,3.28,5.88,6.94,3.69,2.58,3.44,2.85,9.07,2.66,7.76,3.54,5.16,7.09
Asthma,4.88,Moderate,"Sleep Quality, Environmental Factors, Stress Level","Exercise, Stress",High,Low,6.94,4.44,High,1.19,6.05,5.74,3.3,8.84,3.42,3.26,6.16,2.23,2.57,9.99,3.72,7.01,4.81
Gastritis,6.12,Moderate,"Blood Pressure, Cholesterol Level, Sleep Quality","Diet, Stress",Unknown,High,5.92,7.13,High,3.89,9.53,8.46,4.83,6.53,3.92,4.75,9.52,9.61,2.28,6.82,3.63,6.36,5.58
Anxiety Disorder,6.37,Moderate,"Environmental Factors, BMI, Family History","Exercise, Diet",High,High,8.65,5.79,Low,2.17,1.65,6.09,7.16,6.06,9.51,8.56,8.36,9.94,6.41,2.17,8.67,6.07,6.38
Tension Headache,4.86,Moderate,"Diet Quality, Cholesterol Level, Physical Activity","Diet, Stress",Unknown,High,5.64,5.8,Moderate,2.85,1.14,5.7,5.96,1.69,3.2,8.34,4.2,2.27,7.73,7.81,5.07,5.0,7.03
Chickenpox,6.21,Moderate,"Gender, Diet Quality, Sleep Quality","Smoking, Diet",High,Low,8.77,6.78,Moderate,3.23,1.39,1.46,9.15,1.15,8.58,4.41,8.44,4.41,9.79,8.12,8.89,8.77,9.1
Diabetes Type 1,5.67,Moderate,"Smoking Status, Age, BMI","Stress, Smoking",High,Low,5.59,5.22,Low,6.54,1.06,4.25,3.09,6.65,8.98,6.7,9.64,7.32,2.86,6.36,5.43,6.14,4.37
Cholecystitis,5.36,Moderate,"Stress Level, Diet Quality, Cholesterol Level","Stress, Sleep",Moderate,High,6.19,5.92,Low,4.96,8.98,3.49,4.54,7.98,2.85,2.24,3.72,1.59,6.9,2.75,7.16,8.21,9.61
Heart Failure,5.23,Moderate,"Alcohol Consumption, Blood Sugar Level, Family History","Diet, Stress",High,High,5.88,5.97,Moderate,1.85,8.89,8.01,4.74,7.08,6.55,7.95,2.45,2.07,2.13,3.51,9.55,5.6,2.86
Hypertension,6.66,High,"Smoking Status, Environmental Factors, Diet Quality","Stress, Diet",Unknown,High,5.78,6.51,High,5.16,8.87,3.95,8.34,7.26,5.2,6.4,9.34,4.52,6.22,9.08,9.61,6.17,3.15
Asthma,5.34,Moderate,"Gender, Sleep Quality, Diet Quality","Sleep, Diet",Low,High,4.66,4.83,Low,2.14,8.7,1.08,7.09,4.13,8.72,2.38,3.86,2.26,3.99,8.93,4.33,7.28,9.9
Sleep Apnea,6.83,High,"Family History, Environmental Factors, Blood Sugar Level","Exercise, Smoking",Unknown,Low,7.48,7.57,Low,7.33,6.77,8.34,8.07,2.18,5.52,8.96,9.59,9.19,5.65,3.21,6.33,8.18,6.27
Chickenpox,4.72,Moderate,"Blood Pressure, BMI, Smoking Status","Exercise, Diet",Moderate,High,6.93,4.73,Low,8.91,4.82,1.42,6.05,9.78,2.27,5.35,4.38,2.02,1.81,7.76,2.84,3.51,5.21
Measles,5.18,Moderate,"Environmental Factors, Smoking Status, Family History","Sleep, Stress",Moderate,High,6.16,6.53,Moderate,1.32,6.0,8.0,7.85,1.81,1.5,9.69,3.9,3.19,9.85,5.92,3.62,6.32,3.53
Multiple Sclerosis,5.05,Moderate,"Cholesterol Level, Age, Diet Quality","Exercise, Sleep",Unknown,Moderate,6.56,5.12,High,8.02,8.85,3.88,6.84,2.03,3.45,2.87,8.8,8.29,2.09,2.98,2.68,2.41,7.46
Celiac Disease,4.66,Moderate,"Cholesterol Level, Family History, Sleep Quality","Stress, Diet",Low,Low,6.13,5.33,Low,1.89,7.08,5.5,1.98,3.71,1.05,5.23,6.83,5.44,4.71,1.82,1.19,9.72,9.02
Iron Deficiency,5.7,Moderate,"Blood Sugar Level, Stress Level, BMI","Diet, Exercise",High,High,6.37,6.72,High,2.18,3.63,6.79,5.91,3.21,7.75,2.4,8.68,3.93,7.87,6.27,6.07,7.41,7.65
Anemia,6.17,Moderate,"Gender, Blood Pressure, Alcohol Consumption","Sleep, Stress",Unknown,High,8.15,6.54,Moderate,7.51,9.15,4.79,2.66,8.05,4.07,5.59,7.39,9.13,5.49,5.38,2.19,7.96,7.03
PCOS,6.75,High,"Sleep Quality, Age, Alcohol Consumption","Smoking, Sleep",High,Low,9.93,6.31,Low,8.65,3.12,7.89,9.1,7.25,8.85,3.96,8.4,8.05,4.47,2.4,9.66,7.54,5.17
Leukemia,6.33,Moderate,"Blood Sugar Level, Stress Level, Diet Quality","Diet, Exercise",High,Moderate,7.76,7.8,Low,9.37,7.94,8.0,9.01,9.18,4.82,8.13,6.79,1.34,6.64,9.19,2.73,3.15,2.3
Tonsillitis,4.97,Moderate,"Smoking Status, Cholesterol Level, Blood Sugar Level","Smoking, Diet",High,Moderate,6.88,6.15,High,7.3,1.05,5.64,5.38,1.66,6.42,4.7,3.07,5.17,9.58,3.61,8.68,2.7,4.58
Celiac Disease,6.64,High,"Alcohol Consumption, Stress Level, Family History","Smoking, Stress",Moderate,Low,5.75,6.61,Moderate,2.15,7.71,9.19,8.41,8.55,3.37,4.63,6.89,7.56,7.79,5.52,7.74,7.78,5.73
Diabetes Type 1,5.78,Moderate,"Age, Diet Quality, Sleep Quality","Stress, Smoking",Moderate,High,6.61,6.47,Moderate,9.43,6.09,4.79,2.74,3.83,5.78,5.83,9.41,5.66,3.48,2.28,5.67,6.23,9.74
Tuberculosis,4.65,Moderate,"Blood Pressure, Cholesterol Level, Environmental Factors","Exercise, Sleep",High,Moderate,3.79,5.01,High,3.82,6.66,3.6,1.59,1.11,9.18,1.5,4.34,2.54,5.48,4.14,7.23,6.04,7.93
Back Pain,6.35,Moderate,"BMI, Blood Sugar Level, Smoking Status","Sleep, Diet",Moderate,Moderate,9.39,7.67,Moderate,3.27,9.12,3.84,3.42,3.56,4.28,5.99,4.71,7.76,9.12,9.78,9.38,4.82,9.92
Iron Deficiency,5.86,Moderate,"Stress Level, Blood Pressure, Alcohol Consumption","Diet, Sleep",High,Low,7.39,6.06,Low,6.45,7.82,6.33,2.25,3.43,6.84,1.65,6.87,5.55,9.34,1.21,8.3,9.83,6.16
Chickenpox,5.69,Moderate,"Alcohol Consumption, Diet Quality, Environmental Factors","Stress, Sleep",Unknown,Moderate,7.41,7.05,Low,9.55,8.45,1.35,3.96,2.91,5.01,4.58,6.74,4.78,8.4,9.63,4.71,6.27,3.38
Eczema,5.06,Moderate,"Family History, Physical Activity, Smoking Status","Exercise, Stress",Unknown,Moderate,7.19,5.85,High,9.51,8.47,4.51,5.15,2.81,9.56,9.12,6.55,3.99,1.53,1.54,1.95,2.72,3.37
Hemorrhoids,5.33,Moderate,"Diet Quality, Blood Pressure, Stress Level","Sleep, Exercise",High,Low,5.47,6.15,Low,4.24,7.07,1.98,1.14,7.4,8.27,4.07,7.7,1.06,9.21,6.57,4.05,6.17,5.73
Measles,5.27,Moderate,"Family History, Sleep Quality, Blood Pressure","Diet, Stress",Unknown,Low,7.58,5.38,High,5.95,2.32,8.36,2.37,4.05,2.52,4.03,3.67,8.45,8.49,8.11,7.6,4.69,3.14
Psoriasis,5.92,Moderate,"Diet Quality, Cholesterol Level, Smoking Status","Stress, Diet",Low,Moderate,8.41,7.5,Moderate,4.78,4.6,9.75,9.68,3.18,8.41,7.09,4.57,3.37,6.43,8.48,1.56,2.91,8.09
Lymphoma,5.99,Moderate,"Smoking Status, BMI, Physical Activity","Diet, Sleep",High,Low,6.77,7.3,Low,9.38,5.89,9.79,2.22,9.07,2.98,8.86,1.64,2.07,4.83,9.85,8.26,4.89,4.15
Alzheimers Disease,6.11,Moderate,"Physical Activity, Smoking Status, Alcohol Consumption","Exercise, Diet",Unknown,High,6.44,7.42,Low,8.77,7.9,9.26,3.18,4.48,7.59,1.18,7.51,9.45,5.75,4.82,8.62,3.81,3.24
ADHD,6.11,Moderate,"Environmental Factors, BMI, Smoking Status","Sleep, Exercise",Moderate,Low,5.55,7.41,Low,1.68,7.08,4.11,8.86,2.72,8.38,4.35,8.67,9.84,2.64,3.96,7.54,6.16,9.51
Typhoid,5.18,Moderate,"Alcohol Consumption, Environmental Factors, Blood Sugar Level","Exercise, Stress",High,Moderate,6.63,5.03,Low,9.6,5.69,8.13,1.52,9.43,4.59,6.22,3.32,1.24,1.55,5.18,9.13,1.4,5.54
Typhoid,5.27,Moderate,"Physical Activity, Stress Level, Gender","Stress, Diet",Unknown,Moderate,6.33,6.57,Low,3.46,1.56,3.71,8.61,2.09,8.24,9.96,4.43,7.46,5.37,2.63,5.67,9.38,1.15
Diabetes Type 1,7.09,High,"Environmental Factors, Physical Activity, Smoking Status","Sleep, Smoking",High,Low,6.42,8.75,Low,7.17,9.15,5.99,3.64,6.96,9.44,8.22,4.36,5.49,7.56,7.41,7.35,7.76,8.79
Hepatitis C,5.65,Moderate,"Blood Pressure, Physical Activity, Family History","Stress, Exercise",Moderate,Low,5.26,5.42,Low,8.61,3.35,5.1,5.86,2.37,1.2,3.03,8.33,9.02,3.65,9.41,5.48,7.3,6.35
PCOS,4.27,Moderate,"Diet Quality, Physical Activity, Smoking Status","Exercise, Diet",Low,High,5.8,5.29,Moderate,4.09,2.52,3.15,3.73,6.38,3.78,9.97,4.99,2.58,3.52,3.78,1.36,8.26,1.62
Gastritis,6.14,Moderate,"Blood Pressure, Stress Level, Diet Quality","Diet, Stress",Unknown,Moderate,5.58,6.05,High,3.04,2.3,7.43,9.7,9.91,2.54,5.02,6.73,7.49,9.55,2.31,6.82,8.17,4.95
Constipation,5.14,Moderate,"Environmental Factors, Sleep Quality, Diet Quality","Sleep, Exercise",High,Low,6.95,5.33,High,7.41,1.69,5.33,9.64,1.26,8.58,7.42,4.23,2.24,5.99,3.01,9.61,2.24,3.35
Meniere Disease,6.15,Moderate,"Alcohol Consumption, Diet Quality, Cholesterol Level","Sleep, Exercise",High,Low,6.22,6.86,High,3.24,7.71,7.65,8.28,8.8,1.06,9.62,1.64,9.82,7.19,3.02,1.82,9.11,7.16
UTI,5.39,Moderate,"Environmental Factors, Cholesterol Level, Family History","Exercise, Diet",Moderate,Low,4.55,5.8,High,9.22,1.68,7.51,9.23,3.61,9.36,2.71,6.36,1.81,1.61,7.15,3.42,7.38,4.39
Bipolar Disorder,5.26,Moderate,"Diet Quality, Environmental Factors, BMI","Stress, Sleep",Unknown,High,7.35,5.77,Low,9.25,7.08,7.32,2.45,3.61,5.4,6.74,2.68,9.36,3.25,2.79,2.21,3.65,7.88
Leukemia,4.88,Moderate,"Alcohol Consumption, BMI, Smoking Status","Stress, Smoking",High,Moderate,6.22,4.64,Moderate,4.48,3.26,3.99,3.93,4.38,5.97,5.44,3.56,7.03,4.77,2.3,6.21,8.69,4.38
Panic Disorder,3.96,Moderate,"Blood Sugar Level, Gender, Blood Pressure","Sleep, Smoking",Unknown,Low,5.07,4.41,High,8.18,3.18,1.69,8.95,3.25,4.48,2.29,3.95,6.11,2.03,3.84,1.83,2.98,2.66
Dengue Fever,7.03,High,"BMI, Blood Sugar Level, Alcohol Consumption","Diet, Smoking",High,Low,7.83,7.15,High,7.66,6.93,8.08,7.58,6.75,7.11,3.86,7.35,9.2,7.47,9.87,3.23,6.65,6.61
Cataracts,4.84,Moderate,"Gender, Environmental Factors, Family History","Exercise, Sleep",High,High,5.04,5.86,Low,2.08,8.18,9.21,2.81,1.3,4.95,7.67,5.37,8.28,2.43,1.47,3.34,8.67,2.05
Cluster Headache,4.68,Moderate,"BMI, Age, Physical Activity","Stress, Diet",Moderate,Moderate,3.82,5.05,Low,5.07,8.62,2.19,2.05,3.21,4.35,2.57,2.24,8.76,1.27,8.22,9.98,2.93,4.0
Iron Deficiency,5.71,Moderate,"Cholesterol Level, BMI, Sleep Quality","Sleep, Smoking",Unknown,Moderate,8.22,6.65,High,9.7,5.64,2.41,9.5,3.5,7.98,4.67,4.75,1.27,2.07,8.37,6.2,6.2,7.72
Cataracts,6.03,Moderate,"Blood Sugar Level, Family History, Physical Activity","Stress, Sleep",High,Moderate,5.97,7.78,Moderate,8.12,4.3,2.62,7.01,4.64,7.71,3.16,8.81,7.62,7.88,7.72,6.45,5.74,2.62
Common Cold,5.97,Moderate,"Smoking Status, Alcohol Consumption, BMI","Diet, Exercise",Unknown,Low,6.9,6.71,Moderate,8.21,1.85,6.78,4.1,8.36,3.01,7.12,1.72,9.24,2.79,8.44,7.64,6.66,7.61
Constipation,5.85,Moderate,"Smoking Status, Blood Pressure, Cholesterol Level","Smoking, Sleep",Unknown,Moderate,5.21,5.54,High,7.59,6.23,2.67,3.08,5.21,9.19,7.92,6.86,2.83,8.19,5.91,2.76,8.46,5.06
Endometriosis,4.54,Moderate,"Age, Gender, Sleep Quality","Diet, Sleep",High,High,5.87,5.21,Moderate,8.8,3.5,4.07,1.59,4.08,1.06,6.34,3.3,3.63,2.96,4.62,9.83,4.39,5.42
Gastritis,4.54,Moderate,"Physical Activity, Age, Blood Pressure","Stress, Diet",High,High,6.41,4.31,High,2.79,1.32,3.61,4.84,4.77,7.89,5.85,1.7,7.71,4.08,7.47,5.49,4.99,1.04
Hemorrhoids,5.59,Moderate,"Stress Level, Blood Pressure, Age","Diet, Stress",Low,High,7.24,6.58,Low,5.58,2.96,7.72,6.26,8.57,8.96,6.64,6.15,1.44,5.16,5.97,2.78,5.46,4.55
Osteoarthritis,4.74,Moderate,"Smoking Status, Environmental Factors, Physical Activity","Sleep, Exercise",Low,Low,7.05,4.83,High,3.87,3.58,5.62,9.47,3.64,5.69,6.99,3.85,4.28,2.29,6.15,6.87,1.05,3.06
Diabetes Type 1,5.55,Moderate,"Blood Pressure, Blood Sugar Level, Physical Activity","Sleep, Stress",Moderate,Low,8.16,5.54,Moderate,2.95,5.0,4.43,5.36,2.5,6.75,5.26,1.79,8.68,9.81,3.44,4.83,9.18,7.78
Migraine,5.62,Moderate,"Sleep Quality, BMI, Blood Pressure","Exercise, Smoking",Low,High,4.56,6.15,Low,4.71,7.45,9.16,5.41,6.92,5.02,2.68,1.94,5.44,5.23,4.96,5.8,6.52,7.42
Varicose Veins,4.49,Moderate,"Blood Pressure, Diet Quality, BMI","Sleep, Smoking",High,High,6.53,4.91,Moderate,8.71,5.3,1.89,3.37,2.39,1.96,9.03,6.8,5.14,1.06,4.62,5.58,3.82,3.12
Celiac Disease,5.95,Moderate,"Diet Quality, Alcohol Consumption, Physical Activity","Stress, Diet",High,Low,7.3,6.2,Moderate,5.12,7.35,5.37,8.03,5.81,6.87,9.51,9.52,2.51,7.46,4.18,1.92,1.24,8.43
Heart Disease,5.78,Moderate,"Blood Sugar Level, Diet Quality, Physical Activity","Smoking, Exercise",Low,Moderate,8.03,5.64,Moderate,5.7,5.62,1.79,4.31,1.76,9.14,5.61,8.54,9.77,2.96,9.62,6.52,6.7,2.84
Migraine,5.82,Moderate,"Family History, Smoking Status, Environmental Factors","Diet, Sleep",Low,Low,7.67,6.48,High,4.83,5.48,4.71,8.18,5.68,8.06,1.49,3.44,9.24,8.22,6.42,4.68,3.69,7.32
Metabolic Syndrome,5.48,Moderate,"Cholesterol Level, Blood Pressure, Physical Activity","Sleep, Exercise",Low,High,5.46,6.95,Low,4.89,6.86,2.07,3.1,9.15,9.6,6.06,3.19,3.96,4.98,9.71,3.42,1.88,7.89
Ear Infection,5.82,Moderate,"Environmental Factors, BMI, Diet Quality","Diet, Sleep",Moderate,Moderate,6.12,5.79,Low,9.31,6.85,7.23,5.85,3.74,1.34,8.48,8.52,4.08,9.62,2.16,4.94,4.03,5.33
Peptic Ulcer,5.93,Moderate,"BMI, Family History, Cholesterol Level","Stress, Diet",Unknown,Moderate,8.77,7.35,Moderate,9.13,7.43,3.08,8.84,9.73,3.85,5.1,1.97,9.69,1.62,3.47,4.89,7.54,6.7
Gout,5.73,Moderate,"Age, Alcohol Consumption, Family History","Exercise, Smoking",Low,Low,8.53,7.18,High,9.27,5.34,6.84,7.04,3.36,9.04,8.57,3.36,7.0,2.88,8.02,1.09,6.6,1.82
Panic Disorder,5.18,Moderate,"Family History, Sleep Quality, Blood Pressure","Stress, Smoking",Unknown,Low,6.13,4.85,High,2.73,7.66,7.6,4.67,4.29,5.64,2.55,4.79,6.64,8.46,4.81,6.41,5.07,1.19
Varicose Veins,5.64,Moderate,"Sleep Quality, Diet Quality, Alcohol Consumption","Exercise, Stress",Unknown,High,5.58,5.99,Moderate,3.7,3.9,1.16,1.92,7.28,2.28,6.75,8.63,9.16,3.41,6.05,7.67,8.99,8.01
Diabetes Type 2,5.71,Moderate,"Gender, Cholesterol Level, Stress Level","Sleep, Exercise",Low,Moderate,5.59,5.74,Moderate,7.06,9.18,4.93,4.38,8.58,3.01,5.72,1.22,9.48,7.85,6.44,5.7,5.3,1.04
Panic Disorder,5.6,Moderate,"Blood Sugar Level, Cholesterol Level, Alcohol Consumption","Diet, Exercise",High,Moderate,4.96,6.66,High,8.92,5.95,9.55,6.04,5.48,6.63,4.86,1.09,1.28,3.71,9.46,4.98,1.63,8.77
Alzheimers Disease,5.82,Moderate,"Diet Quality, Environmental Factors, Family History","Diet, Exercise",Moderate,Low,8.58,7.37,High,4.62,9.67,9.93,5.36,1.78,1.23,6.23,5.96,6.67,4.52,1.83,9.44,8.99,5.24
Schizophrenia,4.82,Moderate,"Environmental Factors, Stress Level, Diet Quality","Exercise, Sleep",Moderate,Low,6.35,4.75,High,7.1,7.16,4.02,6.25,6.52,9.76,1.88,1.1,5.99,7.44,2.66,2.63,2.24,2.78
Meniere Disease,4.22,Moderate,"Environmental Factors, Blood Sugar Level, BMI","Smoking, Stress",Moderate,High,5.37,4.01,High,4.28,2.95,4.38,1.63,3.47,1.4,2.68,9.24,2.22,5.86,7.04,4.1,7.15,2.67
Schizophrenia,5.55,Moderate,"Gender, Blood Sugar Level, Environmental Factors","Diet, Stress",Moderate,Low,5.99,6.72,Moderate,1.94,2.38,6.11,5.34,2.87,3.74,3.02,9.38,8.94,8.91,6.59,7.49,7.94,3.02
Chronic Fatigue,5.0,Moderate,"Family History, Diet Quality, Alcohol Consumption","Exercise, Smoking",High,High,4.26,5.82,Low,4.52,2.36,5.21,6.07,5.78,9.03,3.55,2.31,4.14,4.29,6.76,3.98,4.68,7.29
Glaucoma,5.69,Moderate,"Smoking Status, Blood Sugar Level, Age","Exercise, Smoking",Unknown,Moderate,5.05,6.46,Low,1.74,4.89,8.74,9.37,3.89,7.33,1.78,3.92,8.46,4.97,3.63,8.78,3.04,9.18
Vertigo,5.04,Moderate,"Gender, BMI, Diet Quality","Exercise, Stress",Unknown,Moderate,4.61,6.05,Moderate,2.1,6.24,6.01,5.22,4.21,4.23,1.53,3.5,4.19,4.89,4.3,8.14,8.87,7.12
Insomnia,5.18,Moderate,"Sleep Quality, Alcohol Consumption, Family History","Smoking, Diet",Unknown,Low,4.94,6.25,High,7.64,8.06,4.54,1.17,1.29,7.32,5.01,7.34,6.16,1.19,9.84,1.57,5.74,5.64
GERD,5.69,Moderate,"Smoking Status, Age, Environmental Factors","Smoking, Exercise",Unknown,Moderate,5.27,5.38,High,1.61,9.97,4.98,7.57,9.6,5.83,4.37,3.13,7.28,9.25,3.25,4.79,5.27,2.76
COVID-19,6.4,Moderate,"Gender, BMI, Alcohol Consumption","Smoking, Exercise",Low,Low,7.13,7.02,Low,7.73,6.9,6.7,3.8,8.9,4.06,7.27,8.92,8.79,8.45,4.81,2.23,9.48,1.59
PTSD,5.35,Moderate,"Gender, Blood Pressure, BMI","Diet, Stress",Moderate,High,6.2,5.51,Low,3.0,9.23,9.56,9.26,3.55,1.98,6.7,6.23,4.64,8.15,1.06,5.9,1.91,3.7
Constipation,6.1,Moderate,"Family History, Sleep Quality, Gender","Smoking, Diet",Low,Moderate,9.11,7.76,High,8.51,5.98,8.36,5.4,2.83,8.39,5.22,2.82,4.42,2.38,8.55,9.04,9.36,4.12
Kidney Stones,6.08,Moderate,"Gender, Family History, Blood Sugar Level","Diet, Smoking",High,Low,6.25,6.92,Moderate,6.24,3.6,9.21,9.11,3.95,9.85,2.37,2.44,5.68,5.13,9.85,2.47,5.98,9.28
Breast Cancer,5.8,Moderate,"Stress Level, Gender, Diet Quality","Smoking, Diet",High,High,5.48,6.65,Low,6.45,4.34,6.74,6.48,4.86,6.54,3.68,8.4,7.97,1.34,3.78,9.48,4.57,6.54
Breast Cancer,5.09,Moderate,"Smoking Status, Physical Activity, Diet Quality","Exercise, Diet",Moderate,Moderate,7.4,6.33,Low,2.67,2.2,3.31,7.64,2.44,4.4,8.2,1.66,7.74,6.97,9.16,6.55,1.36,6.97
COVID-19,5.79,Moderate,"Age, Environmental Factors, Diet Quality","Diet, Sleep",Moderate,Moderate,6.97,5.53,High,3.92,6.24,6.13,9.3,2.23,3.28,8.4,5.53,3.89,8.49,1.55,9.92,8.26,3.98
Tuberculosis,5.93,Moderate,"Environmental Factors, Family History, Stress Level","Sleep, Stress",Moderate,Moderate,8.42,6.43,Moderate,4.27,9.9,4.74,2.84,3.1,7.19,9.09,3.36,9.7,7.27,2.17,2.33,7.57,9.52
Arthritis,5.83,Moderate,"Gender, Blood Pressure, Physical Activity","Sleep, Stress",Low,Moderate,8.05,6.66,Moderate,7.81,8.16,7.88,5.35,1.73,4.81,1.18,7.45,9.17,2.85,6.28,2.5,9.47,6.94
Sciatica,4.87,Moderate,"Gender, Age, Stress Level","Stress, Sleep",Low,Low,3.92,5.12,High,3.13,7.69,5.44,6.03,1.24,7.51,5.67,2.6,2.46,6.8,3.64,7.83,6.51,1.6
ADHD,5.83,Moderate,"Cholesterol Level, Smoking Status, BMI","Sleep, Smoking",Low,Moderate,7.13,6.86,Moderate,8.76,1.99,2.28,7.26,8.74,1.18,4.08,9.8,7.67,7.05,6.81,1.74,7.98,6.34
Lymphoma,4.99,Moderate,"Sleep Quality, Diet Quality, Cholesterol Level","Smoking, Exercise",Low,Low,7.22,5.96,Low,2.08,5.44,1.65,6.54,3.29,6.22,5.6,4.19,5.07,3.91,4.84,6.41,9.97,4.71
UTI,4.93,Moderate,"Cholesterol Level, Blood Pressure, Smoking Status","Sleep, Stress",Unknown,Low,5.83,5.07,Moderate,8.56,3.32,3.51,3.6,4.49,7.46,1.37,1.28,4.73,8.18,2.55,4.96,9.48,5.47
Hypertension,5.97,Moderate,"Blood Sugar Level, Stress Level, BMI","Smoking, Stress",High,Moderate,7.02,6.0,Moderate,8.01,3.62,3.11,6.48,9.94,5.09,6.33,1.94,8.92,9.47,2.87,7.52,8.02,2.24
Chickenpox,4.98,Moderate,"Age, Alcohol Consumption, Environmental Factors","Diet, Stress",Moderate,Low,5.46,5.41,High,4.25,2.15,4.39,7.46,6.03,2.33,5.35,2.44,4.28,6.02,6.2,6.22,8.87,3.73
Measles,4.76,Moderate,"Blood Sugar Level, Gender, Diet Quality","Smoking, Sleep",Unknown,High,4.6,4.34,Low,4.4,6.27,4.88,4.34,5.78,9.8,1.57,6.03,8.49,4.37,1.0,5.58,1.52,2.54
