drug_1,drug_2,interaction_severity,interaction_type,clinical_effect,mechanism,management,evidence_level,onset_time,age_considerations
Insulin,Ibuprofen,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Omeprazole,Warfarin,Severe,Antagonistic,Avoid concurrent use,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Omeprazole,Losartan,Moderate,Antagonistic,Reduced effectiveness,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),All ages
Atorvastatin,Losartan,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Adults only
Levothyroxine,Cetirizine,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Cetirizine,Tramadol,Severe,Antagonistic,Avoid concurrent use,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),All ages
Lorazepam,Acetaminophen,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,All ages
Furosemide,Atorvastatin,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Pediatric
Aspirin,Ibuprofen,Moderate,Pharmacodynamic,Reduced effectiveness,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Lisinopril,Gabapentin,Moderate,Antagonistic,Increased side effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Pediatric
Ibuprofen,Atorvastatin,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Gabapentin,Metformin,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Elderly
Ibuprofen,Sertraline,Severe,Antagonistic,Avoid concurrent use,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Prednisone,Tramadol,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Adults only
Ibuprofen,Amoxicillin,Major,Antagonistic,Significant adverse effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Amoxicillin,Acetaminophen,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Cetirizine,Amoxicillin,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Gabapentin,Diphenhydramine,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Elderly
Clonazepam,Omeprazole,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),All ages
Cetirizine,Amoxicillin,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,All ages
Clonazepam,Losartan,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),All ages
Insulin,Tramadol,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Hydrochlorothiazide,Levothyroxine,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Elderly
Montelukast,Insulin,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Pediatric
Montelukast,Albuterol,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Omeprazole,Ibuprofen,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),All ages
Albuterol,Montelukast,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Insulin,Hydrochlorothiazide,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Gabapentin,Amoxicillin,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Albuterol,Tramadol,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Diphenhydramine,Furosemide,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Warfarin,Sertraline,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Adults only
Sertraline,Hydrochlorothiazide,Moderate,Pharmacodynamic,Increased side effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Adults only
Ibuprofen,Warfarin,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Prednisone,Warfarin,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Hydrochlorothiazide,Lorazepam,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Elderly
Amoxicillin,Insulin,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Gabapentin,Montelukast,Minor,Synergistic,Slight efficacy reduction,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Adults only
Lisinopril,Insulin,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Diphenhydramine,Lisinopril,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Elderly
Levothyroxine,Cetirizine,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Adults only
Atorvastatin,Lorazepam,Major,Synergistic,Substantial efficacy loss,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Elderly
Prednisone,Hydrochlorothiazide,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),All ages
Ibuprofen,Lorazepam,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Hydrochlorothiazide,Losartan,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Pediatric
Tramadol,Cetirizine,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Pediatric
Metformin,Sertraline,Moderate,Pharmacodynamic,Requires monitoring,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Pediatric
Insulin,Lisinopril,Major,Antagonistic,Substantial efficacy loss,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Pediatric
Omeprazole,Lorazepam,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Adults only
Aspirin,Acetaminophen,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Adults only
Aspirin,Furosemide,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),All ages
Prednisone,Furosemide,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Elderly
Omeprazole,Aspirin,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Levothyroxine,Ibuprofen,Severe,Synergistic,Life-threatening reactions,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Elderly
Insulin,Montelukast,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Atorvastatin,Metformin,Major,Synergistic,Significant adverse effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),All ages
Aspirin,Hydrochlorothiazide,Major,Synergistic,Significant adverse effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Elderly
Warfarin,Cetirizine,Minor,Pharmacokinetic,Mild side effect increase,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Adults only
Clonazepam,Furosemide,Moderate,Antagonistic,Increased side effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Losartan,Aspirin,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),All ages
Aspirin,Diphenhydramine,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Insulin,Clonazepam,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),All ages
Prednisone,Lorazepam,Severe,Pharmacokinetic,Avoid concurrent use,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Furosemide,Amoxicillin,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Clonazepam,Cetirizine,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Furosemide,Sertraline,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Adults only
Ibuprofen,Albuterol,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Pediatric
Montelukast,Acetaminophen,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Elderly
Diphenhydramine,Furosemide,Moderate,Antagonistic,Requires monitoring,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),All ages
Furosemide,Prednisone,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,All ages
Acetaminophen,Lisinopril,Major,Antagonistic,Substantial efficacy loss,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Pediatric
Warfarin,Montelukast,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Adults only
Omeprazole,Acetaminophen,Moderate,Pharmacokinetic,Increased side effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Elderly
Gabapentin,Sertraline,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Metformin,Lisinopril,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Adults only
Levothyroxine,Lisinopril,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Metformin,Tramadol,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,All ages
Clonazepam,Metformin,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Lisinopril,Gabapentin,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Hydrochlorothiazide,Montelukast,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Losartan,Acetaminophen,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Adults only
Acetaminophen,Albuterol,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Pediatric
Prednisone,Lorazepam,Major,Antagonistic,Dosage adjustment needed,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Amoxicillin,Acetaminophen,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Pediatric
Acetaminophen,Lisinopril,Severe,Antagonistic,Avoid concurrent use,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Pediatric
Cetirizine,Sertraline,Severe,Synergistic,Life-threatening reactions,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Pediatric
Amoxicillin,Lisinopril,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Adults only
Montelukast,Sertraline,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Adults only
Metformin,Hydrochlorothiazide,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Adults only
Acetaminophen,Prednisone,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Pediatric
Sertraline,Lorazepam,Moderate,Pharmacokinetic,Requires monitoring,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Pediatric
Tramadol,Lorazepam,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Ibuprofen,Omeprazole,Severe,Pharmacokinetic,Avoid concurrent use,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Adults only
Hydrochlorothiazide,Metformin,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Elderly
Clonazepam,Omeprazole,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Adults only
Diphenhydramine,Clonazepam,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Diphenhydramine,Insulin,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,All ages
Losartan,Amoxicillin,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),All ages
Metformin,Acetaminophen,Major,Antagonistic,Dosage adjustment needed,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Elderly
Diphenhydramine,Ibuprofen,Moderate,Pharmacokinetic,Increased side effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Pediatric
Diphenhydramine,Sertraline,Major,Pharmacokinetic,Significant adverse effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Pediatric
Diphenhydramine,Amoxicillin,Major,Synergistic,Dosage adjustment needed,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Diphenhydramine,Montelukast,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),All ages
Insulin,Furosemide,Severe,Pharmacodynamic,Avoid concurrent use,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Pediatric
Aspirin,Lisinopril,Severe,Pharmacokinetic,Contraindicated combination,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),All ages
Montelukast,Furosemide,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),All ages
Warfarin,Tramadol,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Elderly
Clonazepam,Ibuprofen,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,Elderly
Diphenhydramine,Levothyroxine,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),All ages
Omeprazole,Sertraline,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),All ages
Aspirin,Insulin,Moderate,Synergistic,Reduced effectiveness,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),Adults only
Furosemide,Omeprazole,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),All ages
Warfarin,Ibuprofen,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Cetirizine,Levothyroxine,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),Adults only
Amoxicillin,Metformin,Severe,Synergistic,Avoid concurrent use,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Pediatric
Insulin,Gabapentin,Moderate,Antagonistic,Increased side effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Warfarin,Prednisone,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Acetaminophen,Furosemide,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Pediatric
Metformin,Diphenhydramine,Severe,Antagonistic,Contraindicated combination,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Pediatric
Sertraline,Amoxicillin,Severe,Pharmacodynamic,Contraindicated combination,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Pediatric
Metformin,Omeprazole,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Adults only
Losartan,Ibuprofen,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Elderly
Omeprazole,Lorazepam,Major,Antagonistic,Significant adverse effects,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Pediatric
Furosemide,Montelukast,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Pediatric
Amoxicillin,Acetaminophen,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Elderly
Amoxicillin,Aspirin,Moderate,Pharmacodynamic,Requires monitoring,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Adults only
Aspirin,Furosemide,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,All ages
Prednisone,Cetirizine,Severe,Antagonistic,Avoid concurrent use,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Pediatric
Montelukast,Lisinopril,Moderate,Pharmacodynamic,Reduced effectiveness,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Chronic (weeks),Pediatric
Omeprazole,Lisinopril,Severe,Antagonistic,Avoid concurrent use,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),Adults only
Diphenhydramine,Acetaminophen,Severe,Antagonistic,Life-threatening reactions,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Pediatric
Ibuprofen,Diphenhydramine,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Tramadol,Losartan,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Variable,Adults only
Albuterol,Cetirizine,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Rapid (hours),Adults only
Clonazepam,Warfarin,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Adults only
Lisinopril,Omeprazole,Major,Pharmacodynamic,Dosage adjustment needed,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Prednisone,Cetirizine,Major,Synergistic,Substantial efficacy loss,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Rapid (hours),All ages
Cetirizine,Gabapentin,Moderate,Pharmacokinetic,Increased side effects,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),All ages
Lisinopril,Albuterol,Major,Synergistic,Significant adverse effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Elderly
Lisinopril,Lorazepam,Major,Pharmacokinetic,Dosage adjustment needed,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Delayed (days),All ages
Montelukast,Lisinopril,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Chronic (weeks),Adults only
Sertraline,Tramadol,Major,Pharmacodynamic,Significant adverse effects,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Rapid (hours),Adults only
Losartan,Atorvastatin,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Delayed (days),Adults only
Aspirin,Metformin,Moderate,Pharmacokinetic,Reduced effectiveness,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Rapid (hours),All ages
Ibuprofen,Tramadol,Minor,Pharmacodynamic,Mild side effect increase,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Variable,Adults only
Acetaminophen,Hydrochlorothiazide,Severe,Pharmacokinetic,Life-threatening reactions,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Adults only
Metformin,Amoxicillin,Severe,Synergistic,Contraindicated combination,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Gabapentin,Tramadol,Major,Pharmacokinetic,Substantial efficacy loss,Pharmacokinetic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Chronic (weeks),Pediatric
Levothyroxine,Omeprazole,Minor,Antagonistic,Slight efficacy reduction,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Adults only
Insulin,Aspirin,Moderate,Synergistic,Requires monitoring,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Elderly
Lisinopril,Gabapentin,Minor,Antagonistic,Mild side effect increase,Antagonistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Delayed (days),Pediatric
Albuterol,Cetirizine,Moderate,Synergistic,Increased side effects,Synergistic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Case Report,Chronic (weeks),Elderly
Losartan,Acetaminophen,Minor,Pharmacodynamic,Slight efficacy reduction,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Clinical Study,Variable,Elderly
Lisinopril,Diphenhydramine,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Established,Variable,All ages
Warfarin,Sertraline,Severe,Pharmacodynamic,Life-threatening reactions,Pharmacodynamic interaction affecting drug metabolism/action,Consult healthcare provider before combining medications,Theoretical,Delayed (days),Elderly
