disease,precaution_1,precaution_2,precaution_3,precaution_4,precaution_5,precaution_6,severity_level,urgency,follow_up_days
Prostate Cancer,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,Critical,High,31
Peptic Ulcer,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Critical,Medium,62
Fibromyalgia,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,Critical,Emergency,88
Osteoporosis,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Critical,Medium,24
Chickenpox,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,Critical,Emergency,47
Laryngitis,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,Severe,Emergency,89
Coronary Artery Disease,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Mild,Low,41
Hyperthyroidism,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,,,Moderate,Low,54
Hyperthyroidism,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Mild,Low,89
Anemia,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,,,Critical,High,66
Appendicitis,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,Moderate,High,15
PCOS,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,,Critical,Emergency,80
Epilepsy,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,Moderate,High,19
Ulcerative Colitis,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,,,Moderate,Emergency,57
Prostate Cancer,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Critical,Medium,59
Prostate Cancer,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,,,Severe,Medium,70
Tension Headache,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,,,Critical,Emergency,5
Hearing Loss,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,,Severe,Low,62
Chronic Kidney Disease,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,,Mild,Medium,63
Acid Reflux,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,,,Severe,High,77
Diabetes Type 1,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,Severe,Low,25
PCOS,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,,,Moderate,High,17
Diabetes Type 1,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Severe,Medium,64
Asthma,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,Critical,Medium,48
Varicose Veins,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,Moderate,Medium,58
Dermatitis,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,,,Severe,Medium,19
Malaria,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,Mild,High,33
Macular Degeneration,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Severe,Low,10
Lactose Intolerance,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Moderate,Low,85
Hepatitis C,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,,Moderate,Low,8
Anemia,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Mild,Medium,10
Peptic Ulcer,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,,Moderate,Emergency,88
Dengue Fever,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Mild,High,79
Hyperthyroidism,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,Critical,High,21
Tuberculosis,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,Critical,Medium,15
Lung Cancer,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Mild,Medium,26
Lymphoma,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,Critical,Emergency,79
Salmonella,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,,Moderate,High,62
Sleep Apnea,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,,Mild,High,5
Coronary Artery Disease,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,,,Mild,High,36
Bronchitis,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Mild,Medium,85
Schizophrenia,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,,,Moderate,High,32
Psoriasis,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,,Severe,High,59
Laryngitis,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Moderate,Medium,31
Insomnia,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,,,Critical,High,42
Hernia,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Severe,Emergency,14
Hepatitis C,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Critical,Medium,77
Migraine,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,,,Severe,High,48
Hepatitis C,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,Mild,Emergency,25
Acid Reflux,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Mild,Medium,90
Back Pain,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,,Mild,Emergency,75
Peptic Ulcer,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Moderate,High,20
Cluster Headache,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,Severe,Medium,80
Rheumatoid Arthritis,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Critical,Emergency,6
Epilepsy,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Critical,High,46
Malaria,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,,Mild,Low,30
Meniere Disease,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,,,Moderate,Low,7
Panic Disorder,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Severe,High,78
Epilepsy,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,,,Moderate,Emergency,25
Anxiety Disorder,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Moderate,Low,47
Sciatica,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,,,Severe,Medium,90
Obesity,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,,,Mild,Medium,90
Coronary Artery Disease,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Mild,High,52
Cataracts,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Severe,High,53
Bipolar Disorder,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,Mild,Emergency,46
Bronchitis,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Mild,High,20
Insomnia,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,,Severe,High,88
Meniere Disease,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Moderate,Low,13
Gastritis,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,,,Severe,Emergency,80
Laryngitis,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Moderate,Medium,90
Eczema,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Severe,Emergency,54
Heart Attack,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,,,Severe,Emergency,80
Parkinsons Disease,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,,Critical,Low,68
Hemorrhoids,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,,Mild,Emergency,87
Kidney Stones,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Mild,Low,7
Crohns Disease,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,,,Critical,High,39
ADHD,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,Moderate,Emergency,26
Colon Cancer,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Critical,Emergency,69
Laryngitis,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Critical,High,38
Laryngitis,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,Mild,Medium,33
Alzheimers Disease,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,,,Severe,High,29
Breast Cancer,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,,,Severe,Medium,88
Vertigo,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Critical,High,63
Anxiety Disorder,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,Mild,Low,86
Hypertension,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,,Critical,High,81
Mumps,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,,Mild,High,85
Varicose Veins,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,,Moderate,Low,50
Hepatitis C,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,,Mild,Emergency,78
Constipation,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,,Moderate,Medium,74
Tonsillitis,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Moderate,Low,15
Hypertension,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,,,Moderate,High,66
Vertigo,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Moderate,Medium,11
Appendicitis,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,,,Moderate,Medium,42
Acid Reflux,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,,,Mild,Emergency,9
Depression,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Severe,Low,70
Anemia,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,,Moderate,Emergency,57
Flu,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,Severe,High,49
Cataracts,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,,,Critical,High,45
ADHD,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,,Severe,Low,88
Peptic Ulcer,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,Critical,Medium,42
Hypertension,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,,Moderate,Emergency,44
Kidney Stones,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,,,Moderate,Emergency,19
Varicose Veins,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Severe,Emergency,48
Constipation,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,,Moderate,Emergency,69
Colon Cancer,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,,,Severe,Medium,80
Tension Headache,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,,Moderate,High,87
Measles,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Critical,Emergency,32
Eczema,Consult healthcare provider for proper diagnosis and treatment,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,Maintain healthy lifestyle with balanced diet and regular exercise,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Moderate,Medium,6
Hepatitis C,Monitor symptoms and report changes to healthcare provider,Attend all scheduled follow-up appointments,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,,,Critical,Medium,73
Hepatitis C,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,,,Mild,Low,58
Coronary Artery Disease,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Consult healthcare provider for proper diagnosis and treatment,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,,Critical,Low,72
Chickenpox,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Monitor symptoms and report changes to healthcare provider,,Severe,Low,16
Anemia,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Maintain healthy lifestyle with balanced diet and regular exercise,,,Severe,Medium,18
Epilepsy,Maintain healthy lifestyle with balanced diet and regular exercise,Monitor symptoms and report changes to healthcare provider,Follow prescribed medication regimen exactly as directed,Get adequate rest and manage stress levels effectively,Attend all scheduled follow-up appointments,Consult healthcare provider for proper diagnosis and treatment,Moderate,Medium,67
Alzheimers Disease,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Follow prescribed medication regimen exactly as directed,Monitor symptoms and report changes to healthcare provider,Consult healthcare provider for proper diagnosis and treatment,,Severe,High,1
Anemia,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,Maintain healthy lifestyle with balanced diet and regular exercise,Consult healthcare provider for proper diagnosis and treatment,,,Severe,Medium,24
Pneumonia,Follow prescribed medication regimen exactly as directed,Attend all scheduled follow-up appointments,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Maintain healthy lifestyle with balanced diet and regular exercise,,Severe,Low,55
Typhoid,Monitor symptoms and report changes to healthcare provider,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,Follow prescribed medication regimen exactly as directed,,Mild,High,74
Gout,Maintain healthy lifestyle with balanced diet and regular exercise,Get adequate rest and manage stress levels effectively,Consult healthcare provider for proper diagnosis and treatment,Attend all scheduled follow-up appointments,,,Critical,Low,36
