disease,description,icd_10_code,category,contagious,duration_days,mortality_rate,prevalence_per_100k,age_group_risk,complications,last_updated
Prostate Cancer,Prostate Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O51.2,Cardiovascular,Partially,7-14,5.79,568,Children,May lead to various complications if left untreated,2025-04-01
Skin Cancer,Skin Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X71.4,Endocrine,Yes,14-30,13.892,680,All ages,May lead to various complications if left untreated,2025-01-25
Ulcerative Colitis,Ulcerative Colitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V29.0,Neurological,Partially,7-14,12.069,4192,Elderly,May lead to various complications if left untreated,2025-09-02
Lactose Intolerance,Lactose Intolerance is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E45.6,Endocrine,No,3-7,6.667,551,Children,May lead to various complications if left untreated,2025-07-17
Cataracts,Cataracts is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J41.9,Cardiovascular,No,Chronic,1.272,1364,All ages,May lead to various complications if left untreated,2025-07-11
Schizophrenia,Schizophrenia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O19.4,Neurological,Yes,Chronic,2.983,1230,All ages,May lead to various complications if left untreated,2025-03-28
Iron Deficiency,Iron Deficiency is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H74.7,Respiratory,No,3-7,2.892,977,All ages,May lead to various complications if left untreated,2024-10-27
Dengue Fever,Dengue Fever is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L15.9,Cardiovascular,Yes,3-7,10.102,630,Adults,May lead to various complications if left untreated,2025-07-20
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D16.6,Cardiovascular,Yes,3-7,6.156,524,Elderly,May lead to various complications if left untreated,2024-12-31
Tonsillitis,Tonsillitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K38.2,Infectious,Yes,14-30,4.16,2224,Adults,May lead to various complications if left untreated,2025-02-02
Tension Headache,Tension Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N68.6,Endocrine,No,Chronic,8.144,381,Children,May lead to various complications if left untreated,2025-03-29
Hypertension,Hypertension is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W54.5,Cardiovascular,Yes,14-30,1.223,3328,Elderly,May lead to various complications if left untreated,2025-01-15
Kidney Stones,Kidney Stones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V40.3,Infectious,No,3-7,14.584,3530,All ages,May lead to various complications if left untreated,2024-12-21
Lactose Intolerance,Lactose Intolerance is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P27.1,Cardiovascular,Yes,Chronic,4.505,711,Adults,May lead to various complications if left untreated,2025-04-19
Food Poisoning,Food Poisoning is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I14.6,Cardiovascular,Yes,7-14,3.967,471,Elderly,May lead to various complications if left untreated,2025-06-16
Varicose Veins,Varicose Veins is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q53.9,Infectious,No,3-7,11.14,3851,All ages,May lead to various complications if left untreated,2024-11-05
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A67.7,Cardiovascular,Yes,3-7,8.182,2399,Elderly,May lead to various complications if left untreated,2025-09-01
Lung Cancer,Lung Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y83.1,Neurological,Partially,3-7,1.281,682,All ages,May lead to various complications if left untreated,2024-12-29
Lactose Intolerance,Lactose Intolerance is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T38.5,Cardiovascular,Partially,14-30,6.541,1340,Children,May lead to various complications if left untreated,2025-03-22
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R63.0,Respiratory,No,Chronic,12.879,695,Children,May lead to various complications if left untreated,2024-12-13
Cholecystitis,Cholecystitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G81.3,Respiratory,Yes,3-7,14.007,520,Elderly,May lead to various complications if left untreated,2024-10-28
Heart Disease,"Broad term for conditions affecting heart and blood vessels, including coronary artery disease, heart failure, arrhythmias, and valvular diseases. Leading cause of death globally.",I25.9,Cardiovascular,No,Chronic,23.1,665,Adults,May lead to various complications if left untreated,2025-06-29
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R90.8,Neurological,Yes,3-7,0.34,4486,Adults,May lead to various complications if left untreated,2025-07-03
Leukemia,Leukemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K57.8,Endocrine,Yes,7-14,2.659,3647,Elderly,May lead to various complications if left untreated,2024-12-27
Arthritis,Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F31.9,Endocrine,Yes,7-14,2.883,3415,Children,May lead to various complications if left untreated,2025-01-08
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I13.6,Neurological,Partially,7-14,5.304,3789,Children,May lead to various complications if left untreated,2025-02-18
Crohns Disease,Crohns Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U19.2,Endocrine,No,Chronic,2.302,3546,Elderly,May lead to various complications if left untreated,2024-12-02
Meniere Disease,Meniere Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S46.9,Infectious,Yes,3-7,7.072,1308,Elderly,May lead to various complications if left untreated,2025-08-27
Tonsillitis,Tonsillitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A20.5,Neurological,No,Chronic,10.478,2264,Children,May lead to various complications if left untreated,2024-10-24
Sleep Apnea,Sleep Apnea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B62.5,Respiratory,Partially,7-14,0.039,2451,Children,May lead to various complications if left untreated,2025-08-24
Hepatitis C,Hepatitis C is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N39.6,Respiratory,No,Chronic,3.205,2170,Children,May lead to various complications if left untreated,2025-03-04
Anxiety Disorder,Anxiety Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q55.7,Cardiovascular,Yes,7-14,12.775,4802,Children,May lead to various complications if left untreated,2025-01-02
Skin Cancer,Skin Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M88.2,Respiratory,Partially,Chronic,12.26,4648,All ages,May lead to various complications if left untreated,2025-08-05
Insomnia,Insomnia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O87.6,Endocrine,No,Chronic,3.938,1048,Elderly,May lead to various complications if left untreated,2024-10-12
Rheumatoid Arthritis,Rheumatoid Arthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L71.0,Neurological,Partially,3-7,4.836,588,Elderly,May lead to various complications if left untreated,2025-07-28
Tuberculosis,Tuberculosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T58.6,Respiratory,No,Chronic,2.421,3095,Adults,May lead to various complications if left untreated,2025-05-25
Dermatitis,Dermatitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D70.3,Respiratory,Partially,14-30,11.83,4420,Adults,May lead to various complications if left untreated,2025-01-31
Lactose Intolerance,Lactose Intolerance is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P80.6,Respiratory,Partially,14-30,1.416,1720,Adults,May lead to various complications if left untreated,2024-09-10
Ulcerative Colitis,Ulcerative Colitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q84.2,Respiratory,Partially,Chronic,1.934,258,Children,May lead to various complications if left untreated,2025-04-02
Fibromyalgia,Fibromyalgia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C59.0,Endocrine,Yes,Chronic,5.986,1698,All ages,May lead to various complications if left untreated,2025-03-29
Skin Cancer,Skin Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W93.8,Neurological,Yes,Chronic,0.531,4595,All ages,May lead to various complications if left untreated,2025-04-05
Anxiety Disorder,Anxiety Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J17.3,Infectious,Partially,Chronic,11.285,1414,Adults,May lead to various complications if left untreated,2024-10-23
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H89.2,Cardiovascular,Partially,7-14,10.581,3238,All ages,May lead to various complications if left untreated,2025-08-06
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S22.6,Infectious,Yes,14-30,12.663,3224,Children,May lead to various complications if left untreated,2025-08-18
Malaria,Malaria is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I53.4,Cardiovascular,No,3-7,10.057,352,Children,May lead to various complications if left untreated,2025-03-02
Bipolar Disorder,Bipolar Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O56.6,Neurological,No,Chronic,3.149,587,Children,May lead to various complications if left untreated,2025-03-07
Tension Headache,Tension Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E59.1,Respiratory,Partially,7-14,12.376,385,All ages,May lead to various complications if left untreated,2025-07-06
Schizophrenia,Schizophrenia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I30.7,Endocrine,Yes,Chronic,10.808,4173,Adults,May lead to various complications if left untreated,2024-11-28
Peptic Ulcer,Peptic Ulcer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,D40.6,Infectious,No,3-7,14.029,4124,Children,May lead to various complications if left untreated,2024-11-05
Tonsillitis,Tonsillitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M62.2,Infectious,No,14-30,11.557,256,Elderly,May lead to various complications if left untreated,2025-07-31
Hyperthyroidism,Hyperthyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N54.7,Cardiovascular,Yes,7-14,9.153,3865,All ages,May lead to various complications if left untreated,2024-10-02
Common Cold,"A viral upper respiratory infection caused primarily by rhinoviruses, coronaviruses, and adenoviruses. Characterized by inflammation of the nasal passages, throat, and sinuses.",J00,Respiratory,Yes,7-10,0.001,2500,All ages,May lead to various complications if left untreated,2025-05-13
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W48.1,Cardiovascular,Yes,3-7,11.227,4590,All ages,May lead to various complications if left untreated,2025-04-15
Iron Deficiency,Iron Deficiency is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q67.5,Endocrine,Partially,3-7,9.694,4459,Elderly,May lead to various complications if left untreated,2025-05-27
Fibromyalgia,Fibromyalgia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P51.5,Cardiovascular,Partially,14-30,10.013,1770,All ages,May lead to various complications if left untreated,2025-05-30
Salmonella,Salmonella is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,S37.5,Neurological,No,14-30,10.211,1716,All ages,May lead to various complications if left untreated,2024-11-19
Depression,Depression is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C76.0,Neurological,Partially,14-30,8.022,187,All ages,May lead to various complications if left untreated,2025-07-08
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X67.4,Infectious,Partially,14-30,4.653,1572,All ages,May lead to various complications if left untreated,2025-03-07
Panic Disorder,Panic Disorder is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C91.7,Respiratory,No,3-7,7.009,2507,Adults,May lead to various complications if left untreated,2025-07-22
Gallstones,Gallstones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X51.3,Cardiovascular,No,7-14,13.233,2332,Children,May lead to various complications if left untreated,2025-07-01
Ulcerative Colitis,Ulcerative Colitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U34.7,Infectious,Yes,14-30,2.872,935,Elderly,May lead to various complications if left untreated,2024-11-05
Pneumonia,Pneumonia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O85.0,Respiratory,No,14-30,5.595,2871,All ages,May lead to various complications if left untreated,2025-08-09
Insomnia,Insomnia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I88.9,Infectious,Yes,7-14,10.078,2490,Children,May lead to various complications if left untreated,2025-06-07
Endometriosis,Endometriosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F91.4,Endocrine,No,3-7,14.578,1088,Elderly,May lead to various complications if left untreated,2025-02-24
Peptic Ulcer,Peptic Ulcer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U71.6,Neurological,Partially,Chronic,12.49,2353,Children,May lead to various complications if left untreated,2025-06-13
Insomnia,Insomnia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H46.4,Endocrine,Yes,3-7,5.233,10,Adults,May lead to various complications if left untreated,2025-03-14
Hemorrhoids,Hemorrhoids is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I16.3,Respiratory,Partially,14-30,14.067,1066,All ages,May lead to various complications if left untreated,2024-12-14
Sleep Apnea,Sleep Apnea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W46.2,Respiratory,Yes,Chronic,12.851,1009,All ages,May lead to various complications if left untreated,2024-10-19
Malaria,Malaria is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T95.0,Endocrine,Partially,14-30,9.216,3744,Adults,May lead to various complications if left untreated,2025-08-25
Tuberculosis,Tuberculosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U93.5,Cardiovascular,Yes,3-7,1.438,2853,All ages,May lead to various complications if left untreated,2024-10-21
UTI,UTI is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O97.7,Infectious,Partially,7-14,2.47,3685,Children,May lead to various complications if left untreated,2025-01-26
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,J33.6,Neurological,Yes,Chronic,8.639,2062,Elderly,May lead to various complications if left untreated,2025-02-21
Endometriosis,Endometriosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B33.6,Infectious,No,14-30,11.686,3500,Children,May lead to various complications if left untreated,2025-05-15
Schizophrenia,Schizophrenia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E48.9,Infectious,No,14-30,5.395,310,Adults,May lead to various complications if left untreated,2025-01-11
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W84.6,Respiratory,Yes,3-7,12.534,2272,All ages,May lead to various complications if left untreated,2025-01-07
Hepatitis A,Hepatitis A is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,G91.8,Respiratory,Yes,7-14,3.304,4345,Children,May lead to various complications if left untreated,2024-09-26
Tuberculosis,Tuberculosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N78.5,Infectious,Partially,7-14,6.927,897,Adults,May lead to various complications if left untreated,2025-02-24
GERD,GERD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,A28.5,Respiratory,Partially,14-30,3.083,283,Elderly,May lead to various complications if left untreated,2025-01-08
PCOS,PCOS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V52.4,Neurological,Partially,7-14,8.822,1153,All ages,May lead to various complications if left untreated,2024-09-12
Food Poisoning,Food Poisoning is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E89.0,Infectious,Partially,3-7,6.311,4227,Adults,May lead to various complications if left untreated,2025-03-17
Coronary Artery Disease,Coronary Artery Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P44.4,Endocrine,Partially,7-14,13.752,19,All ages,May lead to various complications if left untreated,2025-05-05
GERD,GERD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I15.1,Cardiovascular,Partially,7-14,8.446,4465,Adults,May lead to various complications if left untreated,2025-03-23
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T45.4,Cardiovascular,Yes,7-14,10.362,3423,All ages,May lead to various complications if left untreated,2025-02-03
Endometriosis,Endometriosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I10.0,Cardiovascular,Partially,3-7,3.695,2456,Adults,May lead to various complications if left untreated,2025-08-16
Dermatitis,Dermatitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F55.7,Neurological,No,7-14,5.539,1949,Elderly,May lead to various complications if left untreated,2025-08-02
Hepatitis B,Hepatitis B is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V27.1,Endocrine,Partially,14-30,12.971,31,All ages,May lead to various complications if left untreated,2025-08-18
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O12.7,Respiratory,Partially,Chronic,14.353,2184,Children,May lead to various complications if left untreated,2025-02-21
Macular Degeneration,Macular Degeneration is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z72.1,Neurological,Partially,14-30,1.371,338,All ages,May lead to various complications if left untreated,2025-04-19
Kidney Stones,Kidney Stones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M62.8,Infectious,No,7-14,13.377,4221,All ages,May lead to various complications if left untreated,2025-04-03
Common Cold,"A viral upper respiratory infection caused primarily by rhinoviruses, coronaviruses, and adenoviruses. Characterized by inflammation of the nasal passages, throat, and sinuses.",J00,Respiratory,Yes,7-10,0.001,2500,Elderly,May lead to various complications if left untreated,2024-10-23
Measles,Measles is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L76.4,Respiratory,Yes,Chronic,11.961,2250,All ages,May lead to various complications if left untreated,2024-10-20
Hyperthyroidism,Hyperthyroidism is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W64.9,Cardiovascular,No,14-30,7.056,4325,Elderly,May lead to various complications if left untreated,2024-10-19
Meniere Disease,Meniere Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z38.4,Respiratory,No,Chronic,14.675,3267,All ages,May lead to various complications if left untreated,2025-07-04
Cluster Headache,Cluster Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C47.8,Neurological,Partially,14-30,3.682,2212,All ages,May lead to various complications if left untreated,2024-10-03
Chronic Kidney Disease,Chronic Kidney Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U14.7,Infectious,Partially,7-14,8.514,39,Children,May lead to various complications if left untreated,2025-04-22
Osteoporosis,Osteoporosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C45.8,Cardiovascular,Yes,7-14,3.127,537,Elderly,May lead to various complications if left untreated,2024-12-18
Sciatica,Sciatica is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O38.8,Infectious,Partially,7-14,7.612,1162,All ages,May lead to various complications if left untreated,2024-09-20
Colon Cancer,Colon Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E76.9,Endocrine,Partially,14-30,5.984,1475,Children,May lead to various complications if left untreated,2025-08-09
Obesity,Obesity is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R87.8,Respiratory,No,7-14,3.102,3051,Children,May lead to various complications if left untreated,2025-01-10
Colon Cancer,Colon Cancer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W97.1,Neurological,No,14-30,2.318,4749,Elderly,May lead to various complications if left untreated,2025-04-05
Leukemia,Leukemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z96.0,Endocrine,No,Chronic,3.37,304,All ages,May lead to various complications if left untreated,2024-11-23
Hearing Loss,Hearing Loss is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z63.5,Cardiovascular,No,14-30,6.719,4257,All ages,May lead to various complications if left untreated,2025-06-01
Gallstones,Gallstones is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T33.4,Respiratory,No,Chronic,5.127,2505,All ages,May lead to various complications if left untreated,2025-02-16
PTSD,PTSD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F39.5,Neurological,No,14-30,6.276,3159,Adults,May lead to various complications if left untreated,2024-10-26
Macular Degeneration,Macular Degeneration is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T20.6,Endocrine,Yes,14-30,11.068,3519,Adults,May lead to various complications if left untreated,2025-04-06
Depression,Depression is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C43.0,Endocrine,Partially,3-7,6.843,3209,Adults,May lead to various complications if left untreated,2025-03-11
Tension Headache,Tension Headache is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,R32.5,Respiratory,Partially,Chronic,10.36,4231,Elderly,May lead to various complications if left untreated,2025-03-04
Hernia,Hernia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N79.3,Respiratory,Yes,Chronic,6.096,4467,Elderly,May lead to various complications if left untreated,2025-08-30
Cataracts,Cataracts is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C86.2,Neurological,Partially,14-30,12.563,1169,Adults,May lead to various complications if left untreated,2025-08-07
Heart Failure,Heart Failure is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,N89.0,Endocrine,No,7-14,1.391,4730,Adults,May lead to various complications if left untreated,2025-07-11
Osteoarthritis,Osteoarthritis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I13.3,Endocrine,No,3-7,5.285,3139,Elderly,May lead to various complications if left untreated,2025-09-04
Alzheimers Disease,Alzheimers Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E82.4,Respiratory,Yes,7-14,0.352,2446,Elderly,May lead to various complications if left untreated,2025-03-10
Fibromyalgia,Fibromyalgia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X98.4,Respiratory,No,Chronic,11.878,302,Elderly,May lead to various complications if left untreated,2025-03-14
Peptic Ulcer,Peptic Ulcer is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U49.6,Neurological,No,Chronic,3.177,2019,Elderly,May lead to various complications if left untreated,2025-03-12
Acid Reflux,Acid Reflux is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V70.6,Endocrine,Partially,Chronic,4.79,3019,Elderly,May lead to various complications if left untreated,2025-04-14
Celiac Disease,Celiac Disease is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,F68.3,Respiratory,Partially,Chronic,0.099,4919,All ages,May lead to various complications if left untreated,2024-12-18
Hemorrhoids,Hemorrhoids is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O25.2,Infectious,Yes,7-14,14.956,695,Adults,May lead to various complications if left untreated,2025-07-27
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K81.6,Neurological,No,Chronic,10.571,3540,All ages,May lead to various complications if left untreated,2024-12-05
Migraine,Migraine is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C84.6,Respiratory,Yes,Chronic,4.909,2752,All ages,May lead to various complications if left untreated,2024-10-24
Sleep Apnea,Sleep Apnea is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,P17.6,Infectious,Yes,Chronic,9.542,2936,All ages,May lead to various complications if left untreated,2025-05-30
Back Pain,Back Pain is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Z35.5,Neurological,Partially,Chronic,11.053,570,Elderly,May lead to various complications if left untreated,2025-02-01
Skin Allergies,Skin Allergies is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O78.8,Cardiovascular,No,3-7,14.728,4396,All ages,May lead to various complications if left untreated,2025-03-15
Flu,Flu is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,M15.0,Infectious,Yes,Chronic,7.743,4720,Children,May lead to various complications if left untreated,2025-01-18
Deep Vein Thrombosis,Deep Vein Thrombosis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,O61.8,Respiratory,Yes,Chronic,14.49,3090,Elderly,May lead to various complications if left untreated,2024-11-26
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,L69.8,Cardiovascular,No,Chronic,5.845,4782,Children,May lead to various complications if left untreated,2025-07-19
Laryngitis,Laryngitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B28.1,Neurological,Yes,Chronic,12.905,3097,All ages,May lead to various complications if left untreated,2025-01-04
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,H56.1,Cardiovascular,Yes,3-7,2.264,2008,All ages,May lead to various complications if left untreated,2025-08-06
Glaucoma,Glaucoma is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,T78.1,Respiratory,Partially,7-14,9.969,92,All ages,May lead to various complications if left untreated,2025-02-28
Heart Attack,Heart Attack is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X40.9,Infectious,Partially,3-7,2.321,4948,All ages,May lead to various complications if left untreated,2025-08-18
Bronchitis,Bronchitis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y24.3,Respiratory,Partially,Chronic,6.274,3176,All ages,May lead to various complications if left untreated,2025-07-02
Cataracts,Cataracts is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,V94.9,Neurological,Partially,Chronic,1.194,2938,Elderly,May lead to various complications if left untreated,2024-12-16
Psoriasis,Psoriasis is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U73.1,Neurological,Yes,Chronic,1.668,1797,All ages,May lead to various complications if left untreated,2025-04-14
Salmonella,Salmonella is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,B12.8,Respiratory,Yes,14-30,6.455,4634,Elderly,May lead to various complications if left untreated,2025-03-09
Leukemia,Leukemia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y26.5,Infectious,No,14-30,14.525,1957,Elderly,May lead to various complications if left untreated,2024-09-26
Hernia,Hernia is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Q11.1,Respiratory,Partially,Chronic,5.368,3998,Children,May lead to various complications if left untreated,2025-04-19
Chickenpox,Chickenpox is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,C38.1,Cardiovascular,No,7-14,8.175,4962,All ages,May lead to various complications if left untreated,2025-06-29
Mumps,Mumps is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,X65.8,Cardiovascular,Yes,3-7,8.327,3216,Adults,May lead to various complications if left untreated,2025-07-17
Back Pain,Back Pain is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,K44.0,Cardiovascular,Partially,7-14,5.765,2924,Adults,May lead to various complications if left untreated,2024-12-12
Sciatica,Sciatica is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,U21.0,Neurological,Partially,7-14,2.108,265,Elderly,May lead to various complications if left untreated,2025-04-08
ADHD,ADHD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,E57.7,Neurological,Yes,7-14,6.875,2071,All ages,May lead to various complications if left untreated,2025-04-09
Hepatitis C,Hepatitis C is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,I91.7,Cardiovascular,Yes,14-30,0.043,136,Adults,May lead to various complications if left untreated,2025-01-08
PCOS,PCOS is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,W84.7,Endocrine,Yes,3-7,13.989,3390,Children,May lead to various complications if left untreated,2025-01-15
PTSD,PTSD is a medical condition that requires proper diagnosis and treatment by qualified healthcare professionals.,Y54.9,Respiratory,No,3-7,7.567,2888,Children,May lead to various complications if left untreated,2025-03-24
